channel,ell,q,gamma_L,gamma,lambda_coh,m2_zero,m2_noise,delta_tilde,ci_lo,ci_hi,n_used,omega_hat
biased_pauli,2,0,0.01,0.0033333333333333335,7.177639381021345,0.00011576829096642663,0.00010078167145077093,0.12945357826869786,0.12945280576352583,0.12945447656389172,30,0.9017837996360664
biased_pauli,2,0,0.03,0.01,7.177639381021345,0.00011576829096642663,7.6393534371608e-05,0.34011693760113904,0.34011158176935435,0.34012316551294947,30,0.7897604387417738
biased_pauli,2,0,0.05,0.016666666666666666,7.177639381021345,0.00011576829096642663,5.79252457657435e-05,0.49964497806621244,0.49963351227636177,0.49965831067333893,30,0.6961132365988485
biased_pauli,2,0,0.1,0.03333333333333333,7.177639381021345,0.00011576829096642663,2.9047501594536734e-05,0.7490893114854684,0.749065342669214,0.7491171814231029,30,0.5218215012767028
biased_pauli,2,0,0.2,0.06666666666666667,7.177639381021345,0.00011576829096642663,7.372234245095324e-06,0.9363190543494047,0.9362925507418786,0.9363498648424623,30,0.32612360577251887
biased_pauli,2,0,0.3,0.09999999999999999,7.177639381021345,0.00011576829096642663,1.902357298748341e-06,0.9835675444211227,0.9835507154449495,0.9835870999709126,30,0.22838696034748535
biased_pauli,1,0,0.01,0.0033333333333333335,7.177639381021345,0.00011576829096642701,0.00010078174513594857,0.12945294178027178,0.12945204348493797,0.12945371428461058,30,0.9017793658076704
biased_pauli,1,0,0.03,0.01,7.177639381021345,0.00011576829096642701,7.6394045233807e-05,0.3401125248021377,0.34010629688185934,0.3401178805813858,30,0.7897501921068959
biased_pauli,1,0,0.05,0.016666666666666666,7.177639381021345,0.00011576829096642701,5.792633941216174e-05,0.49963553120983295,0.4996221985515279,0.4996469966821663,30,0.6961000750900599
biased_pauli,1,0,0.1,0.03333333333333333,7.177639381021345,0.00011576829096642701,2.9049787722264386e-05,0.7490695640424642,0.7490416936588469,0.7490935300920355,30,0.521807745052716
biased_pauli,1,0,0.2,0.06666666666666667,7.177639381021345,0.00011576829096642701,7.374761649873391e-06,0.9362972227687797,0.9362664101282921,0.9363237130545798,30,0.32611600174720284
biased_pauli,1,0,0.3,0.09999999999999999,7.177639381021345,0.00011576829096642701,1.9039615347901747e-06,0.9835536871202294,0.9835341282184291,0.9835704953019841,30,0.22838374264591763
coh_diss_mix,2,0,0.01,0.0033333333333333335,0.9999999999998899,0.00011576829096642663,0.00011347213432207018,0.01983407222468503,0.019834072224668264,0.019834072224704465,30,0.9917036112343607
coh_diss_mix,2,0,0.03,0.01,0.9999999999998899,0.00011576829096642663,0.00010899354787496987,0.058519850598999223,0.05851985059897846,0.05851985059901866,30,0.9753308433167611
coh_diss_mix,2,0,0.05,0.016666666666666666,0.9999999999998899,0.00011576829096642663,0.00010466324356289865,0.09592477621310402,0.09592477621308215,0.095924776213129,30,0.9592477621311459
coh_diss_mix,2,0,0.1,0.03333333333333333,0.9999999999998899,0.00011576829096642663,9.446046543092584e-05,0.18405580109738484,0.18405580109737152,0.1840558010973974,30,0.9202790054870256
coh_diss_mix,2,0,0.2,0.06666666666666667,0.9999999999998899,0.00011576829096642663,7.652622349433783e-05,0.3389707764060298,0.33897077640602047,0.3389707764060381,30,0.8474269410151678
coh_diss_mix,2,0,0.3,0.09999999999999999,0.9999999999998899,0.00011576829096642663,6.152401631948968e-05,0.46855899999999184,0.4685589999999832,0.46855899999999917,30,0.7809316666667391
coh_diss_mix,1,0,0.01,0.0033333333333333335,0.9999999999998899,0.00011576829096642701,0.00011347213432207001,0.01983407222468958,0.019834072224671484,0.019834072224711567,30,0.9917036112345883
coh_diss_mix,1,0,0.03,0.01,0.9999999999998899,0.00011576829096642701,0.00010899354787496965,0.05851985059900422,0.05851985059898256,0.058519850599024203,30,0.9753308433168444
coh_diss_mix,1,0,0.05,0.016666666666666666,0.9999999999998899,0.00011576829096642701,0.00010466324356289847,0.09592477621310846,0.09592477621308747,0.09592477621313167,30,0.9592477621311903
coh_diss_mix,1,0,0.1,0.03333333333333333,0.9999999999998899,0.00011576829096642701,9.446046543092575e-05,0.18405580109738828,0.1840558010973764,0.18405580109740127,30,0.9202790054870428
coh_diss_mix,1,0,0.2,0.06666666666666667,0.9999999999998899,0.00011576829096642701,7.652622349433749e-05,0.3389707764060349,0.3389707764060269,0.3389707764060448,30,0.8474269410151806
coh_diss_mix,1,0,0.3,0.09999999999999999,0.9999999999998899,0.00011576829096642701,6.152401631948973e-05,0.46855899999999306,0.46855899999998474,0.4685590000000013,30,0.7809316666667411
corr_dephase,2,0,0.01,0.0033333333333333335,3.9960000000001106,0.00011576829096642663,0.00011576829096642656,5.551115123125783e-16,-5.7787108431739395e-15,6.772360450213455e-15,30,6.945839743650687e-15
corr_dephase,2,0,0.03,0.01,3.9960000000001106,0.00011576829096642663,0.00011576829096642692,-2.4424906541753444e-15,-6.888933867799096e-15,2.1094237467877974e-15,30,-1.0187231624021007e-14
corr_dephase,2,0,0.05,0.016666666666666666,3.9960000000001106,0.00011576829096642663,0.00011576829096642624,3.4416913763379853e-15,-5.556666238248908e-15,1.2878587085651816e-14,30,8.612841282126851e-15
corr_dephase,2,0,0.1,0.03333333333333333,3.9960000000001106,0.00011576829096642663,0.00011576829096642637,2.220446049250313e-15,-1.9984014443252818e-15,6.439293542825908e-15,30,2.778335897460275e-15
corr_dephase,2,0,0.2,0.06666666666666667,3.9960000000001106,0.00011576829096642663,0.00011576829096642669,-4.440892098500626e-16,-2.220446049250313e-15,1.4432899320127035e-15,30,-2.778335897460275e-16
corr_dephase,2,0,0.3,0.09999999999999999,3.9960000000001106,0.00011576829096642663,0.00011576829096642669,-4.440892098500626e-16,-8.881784197001252e-16,2.220446049250313e-16,30,-1.852223931640183e-16
corr_dephase,1,0,0.01,0.0033333333333333335,3.9960000000001106,0.00011576829096642701,0.00011576829096642696,4.440892098500626e-16,-4.6629367034256575e-15,5.662137425588298e-15,30,5.55667179492055e-15
corr_dephase,1,0,0.03,0.01,3.9960000000001106,0.00011576829096642701,0.00011576829096642693,6.661338147750939e-16,-1.1102230246251565e-15,3.9968028886505635e-15,30,2.778335897460275e-15
corr_dephase,1,0,0.05,0.016666666666666666,3.9960000000001106,0.00011576829096642701,0.00011576829096642671,2.55351295663786e-15,-5.556666238248908e-15,1.1551870571224749e-14,30,6.390172564158632e-15
corr_dephase,1,0,0.1,0.03333333333333333,3.9960000000001106,0.00011576829096642701,0.00011576829096642703,-2.220446049250313e-16,-2.220446049250313e-15,2.220446049250313e-15,30,-2.778335897460275e-16
corr_dephase,1,0,0.2,0.06666666666666667,3.9960000000001106,0.00011576829096642701,0.00011576829096642701,0.0,-1.115774139748282e-15,1.3322676295501878e-15,30,0.0
corr_dephase,1,0,0.3,0.09999999999999999,3.9960000000001106,0.00011576829096642701,0.00011576829096642708,-6.661338147750939e-16,-1.7763568394002505e-15,2.220446049250313e-16,30,-2.778335897460275e-16
